wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,122,32,1,6.714285714285714,6,7,7,7,7,6,7,5.375,6,7,7,6,6,3,2,6,NA,NA,NA,5.8,5.713378684807256,5.37156462585034,5.855714285714285,5.898571428571429
1,123,NA,1,6.714285714285714,7,7,6,7,6,7,7,6.75,7,7,6,7,7,7,6,7,NA,NA,NA,5.9,5.2389781538631714,NA,4.489795918367347,5.426273712737127
1,124,45,1,6.571428571428571,7,7,7,6,6,6,7,5.75,4,6,6,6,6,7,5,6,NA,NA,NA,5.6,5.879166666666666,6.1066666666666665,5.88,5.651388888888889
1,125,37,1,5.285714285714286,5,5,6,5,6,6,4,4.625,4,7,7,1,4,3,5,6,NA,NA,NA,6.18,5.890745825602969,NA,6.219591836734694,5.671515151515152
1,126,40,1,5.714285714285714,6,5,7,5,6,5,6,4.5,5,4,5,4,6,4,4,4,NA,NA,NA,4.78,5.9922312925170065,5.916666666666667,6.04,6.001496598639456
1,127,37,1,7,7,7,7,7,7,7,7,5.25,6,6,1,6,3,7,6,7,NA,NA,NA,5.642857142857143,6.182003023431594,6.06,6.361111111111111,6.103265306122449
1,128,37,1,7,7,7,7,7,7,7,7,6.875,7,7,6,7,7,7,7,7,NA,NA,NA,6.38,6.273581717608413,6.193033000434216,6.418260869565217,6.29
1,129,44,1,6.857142857142857,7,7,7,7,7,7,6,5.375,7,6,6,7,6,3,6,2,NA,NA,NA,6.72,6.417369237588653,6.566666666666666,6.493617021276596,6.217239952718677
1,130,40,1,6.285714285714286,6,7,7,6,6,5,7,5.625,6,5,4,6,6,6,6,6,NA,NA,NA,5.48,5.623695287123859,3.64,5.9,6.192825478539764
1,131,40,2,5.428571428571429,5,5,6,5,6,4,7,5.375,6,7,6,2,7,6,6,3,NA,NA,NA,5.48,5.779119787045253,NA,5.520408163265307,5.9515942028985505
1,132,NA,2,5.142857142857143,5,5,7,5,6,5,3,5.625,5,6,7,5,6,5,6,5,NA,NA,NA,5.653061224489796,5.869487710898046,6.976190476190476,5.089591836734694,6.096032202415181
1,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,4,7,7,6,3,4,3,5,NA,NA,NA,5.3,5.917902683869901,5.944291383219954,5.9,5.89622231871472
1,134,NA,2,6.285714285714286,6,7,6,6,7,5,7,4.75,6,7,5,4,2,6,2,6,NA,NA,NA,5.54,5.455572767039333,5.265378787878788,5.94,5.611086987986684
1,135,39,1,5.714285714285714,5,6,7,6,7,7,2,4.375,4,7,7,4,1,5,1,6,NA,NA,NA,6.14,5.819368858654573,6.958333333333333,4.622222222222222,5.877551020408164
1,136,47,1,6.285714285714286,6,7,6,6,7,6,6,6.125,6,6,7,6,6,6,6,6,NA,NA,NA,5.68,5.891017651234759,5.930212765957447,4.73469387755102,6.237263794406652
1,137,43,1,6.428571428571429,7,7,7,7,7,7,3,5.875,5,7,7,6,5,7,5,5,NA,NA,NA,5.68,6.187415735836022,6.2312692882030865,6.142857142857143,6.158415047795251
1,138,46,2,6.571428571428571,6,7,7,6,6,7,7,6.375,7,6,6,6,6,7,6,7,NA,NA,NA,5.94,6.1889237123420795,6.2,5.87,6.394155328798186
1,139,37,1,5,4,5,5,5,6,4,6,4.75,5,5,6,4,4,5,4,5,NA,NA,NA,5.58,6.263571428571429,6.608333333333333,6.199999999999999,5.8100000000000005
1,140,50,1,5.571428571428571,4,6,6,6,6,5,6,5.375,5,6,5,6,6,5,5,5,NA,NA,NA,5.46,6.089274376417234,6.293959183673469,5.7,5.983582766439909
1,141,40,1,6.428571428571429,5,7,7,7,7,5,7,5.75,6,7,5,4,6,6,6,6,NA,NA,NA,5.04,6.067612293144208,6.9361702127659575,4.98,5.851111111111111
1,142,46,1,7,7,7,7,7,7,7,7,5.75,6,7,6,6,5,6,6,4,NA,NA,NA,5,6.577091836734693,NA,6.918367346938775,6.463333333333333
1,143,40,1,5.571428571428571,6,5,6,5,6,5,6,5.375,6,7,5,5,6,5,4,5,NA,NA,NA,4.92,5.82030303030303,5.773333333333333,6.07,5.730681818181818
1,144,42,2,6.714285714285714,7,7,7,7,7,5,7,6,5,7,7,6,7,5,6,5,NA,NA,NA,5.84,6.0463673469387755,6.591836734693878,5.78,5.953333333333333
1,145,NA,1,6.571428571428571,7,7,6,7,6,6,7,4.125,6,1,2,2,7,7,2,6,NA,NA,NA,5.66,6.166575963718821,5.933163265306122,6.353265306122449,6.3533333333333335
